Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added
MMM,3M Company,reports,Industrials,Industrial Conglomerates,St. Paul, Minnesota,
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,North Chicago, Illinois,1964-03-31
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,North Chicago, Illinois,2012-12-31
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,Dublin, Ireland,2011-07-06
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,Santa Monica, California,2015-08-31
AYI,Acuity Brands Inc,reports,Industrials,Electrical Components & Equipment,Atlanta, Georgia,2016-05-03
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,San Jose, California,1997-05-05
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,Roanoke, Virginia,2015-07-09
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,
AET,Aetna Inc,reports,Health Care,Managed Health Care,Hartford, Connecticut,1976-06-30
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,Beverly, Massachusetts,2014-07-01
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,Columbus, Georgia,
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,Santa Clara, California,
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,Allentown, Pennsylvania,1985-04-30
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,Cambridge, Massachusetts,2007-07-12
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,Seattle, Washington,2016-05-13
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,Baton Rouge, Louisiana,2016-07-01
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,Cheshire, Connecticut,2012-05-25
ALLE,Allegion,reports,Industrials,Building Products,Dublin, Ireland,2013-12-02
AGN,Allergan, Plc,reports,Health Care,Pharmaceuticals,Dublin, Ireland,
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,Plano, Texas,2013-12-23
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,Madison, Wisconsin,2016-07-01
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,Northfield Township, Illinois,
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,Mountain View, California,2014-04-03
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,Mountain View, California,
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,Richmond, Virginia,
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington,2005-11-18
AEE,Ameren Corp,reports,Utilities,MultiUtilities,St. Louis, Missouri,1991-09-19
AAL,American Airlines Group,reports,Industrials,Airlines,Fort Worth, Texas,2015-03-23
AEP,American Electric Power,reports,Utilities,Electric Utilities,Columbus, Ohio,
AXP,American Express Co,reports,Financials,Consumer Finance,New York, New York,1976-06-30
AIG,American International Group, Inc.,reports,Financials,Property & Casualty Insurance,New York, New York,1980-03-31
AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,Boston, Massachusetts,2007-11-19
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,Voorhees, New Jersey,2016-03-04
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota,
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania,
AME,AMETEK Inc,reports,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,2013-09-23
AMGN,Amgen Inc,reports,Health Care,Biotechnology,Thousand Oaks, California,1992-01-02
APH,Amphenol Corp,reports,Information Technology,Electronic Components,Wallingford, Connecticut,2008-09-30
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,The Woodlands, Texas,
ADI,Analog Devices, Inc.,reports,Information Technology,Semiconductors,Norwood, Massachusetts,
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,Indianapolis, Indiana,
AON,Aon plc,reports,Financials,Insurance Brokers,London, United Kingdom,
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,
AIV,Apartment Investment & Mgmt,reports,Real Estate,REITs,Denver, Colorado,
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,Cupertino, California,1982-11-30
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,Santa Clara, California,
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,Decatur, Illinois,1981-07-29
ARNC,Arconic Inc,reports,Industrials,Aerospace & Defense,New York, New York,1964-03-31
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,Itasca, Illinois,2016-05-31
AIZ,Assurant Inc,reports,Financials,Multi-line Insurance,New York, New York,2007-04-10
T,AT&T Inc,reports,Telecommunications Services,Integrated Telecommunications Services,Dallas, Texas,1983-11-30
ADSK,Autodesk Inc,reports,Information Technology,Application Software,San Rafael, California,1989-12-01
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,Roseland, New Jersey,1981-03-31
AN,AutoNation Inc,reports,Consumer Discretionary,Specialty Stores,Fort Lauderdale, Florida,
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,Memphis, Tennessee,
AVB,AvalonBay Communities, Inc.,reports,Real Estate,Residential REITs,Arlington, Virginia[3],2007-01-10
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,Glendale, California,1987-12-31
BHI,Baker Hughes Inc,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,Broomfield, Colorado,1984-10-31
BAC,Bank of America Corp,reports,Financials,Banks,Charlotte, North Carolina,1976-06-30
BCR,Bard (C.R.) Inc.,reports,Health Care,Health Care Equipment,Murray Hill, New Jersey,1975-06-30
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,Deerfield, Illinois,1972-09-30
BBT,BB&T Corporation,reports,Financials,Banks,Winston-Salem, North Carolina,
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,Franklin Lakes, New Jersey,1972-09-30
BBBY,Bed Bath & Beyond,reports,Consumer Discretionary,Specialty Stores,Union, New Jersey,
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,Omaha, Nebraska,2010-02-16
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,Richfield, Minnesota,
BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,Weston, Massachusetts,
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,New York, New York,2011-04-04
HRB,Block H&R,reports,Financials,Consumer Finance,Kansas City, Missouri,1986-11-30
BA,Boeing Company,reports,Industrials,Aerospace & Defense,Chicago, Illinois,
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills, Michigan,2011-12-19
BXP,Boston Properties,reports,Real Estate,REITs,Boston, Massachusetts,
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,Marlborough, Massachusetts[4],
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,New York, New York,
AVGO,Broadcom,reports,Information Technology,Semiconductors,San Jose, California,2014-05-08
BF.B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,Louisville, Kentucky,1982-10-31
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,Eden Prairie, Minnesota,
CA,CA, Inc.,reports,Information Technology,Systems Software,Islandia, New York,1987-07-31
cog,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,2008-06-23
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,Camden, New Jersey,
COF,Capital One Financial,reports,Financials,Consumer Finance,Tysons Corner, Virginia,
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,Dublin, Ohio,
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,Richmond, Virginia,2010-06-28
CCL,Carnival Corp.,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Miami, Florida,
CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Peoria, Illinois,
CBG,CBRE Group,reports,Real Estate,Real Estate Services,Los Angeles, California,
CBS,CBS Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,New York, New York,1994-09-01
CELG,Celgene Corp.,reports,Health Care,Biotechnology,Summit, New Jersey,
CNC,Centene Corporation,reports,Health Care,Managed Health Care,St Louis, Missouri,2016-03-30
CNP,CenterPoint Energy,reports,Utilities,MultiUtilities,Houston, Texas,1985-07-31
CTL,CenturyLink Inc,reports,Telecommunications Services,Integrated Telecommunications Services,Monroe, Louisiana,
CERN,Cerner,reports,Health Care,Health Care Technology,North Kansas City, Missouri,2010-04-30
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,Deerfield, Illinois,2008-08-27
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,San Francisco, California,
CHTR,Charter Communications,reports,Consumer Discretionary,Cable & Satellite,Stamford, Connecticut,2016-09-08
CHK,Chesapeake Energy,reports,Energy,Integrated Oil & Gas,Oklahoma City, Oklahoma,
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,San Ramon, California,
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,Denver, Colorado,2011-04-28
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,Zurich, Switzerland,2010-07-15
CHD,Church & Dwight,reports,Consumer Staples,Household Products,Ewing, New Jersey,2015-12-29
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,Philadelphia, Pennsylvania,1976-06-30
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,Denver, Colorado,2014-06-21
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,Fairfield, Ohio,
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,Mason, Ohio,
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,San Jose, California,1993-12-01
C,Citigroup Inc.,reports,Financials,Banks,New York, New York,1988-05-31
CFG,Citizens Financial Group,reports,Financials,Regional Banks,Providence, Rhode Island,2016-01-29
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,Fort Lauderdale, Florida,
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,Chicago, Illinois,
CMS,CMS Energy,reports,Utilities,MultiUtilities,Jackson, Michigan,
COH,Coach Inc.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,
KO,Coca Cola Company,reports,Consumer Staples,Soft Drinks,Atlanta, Georgia,
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,Teaneck, New Jersey,
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,New York, New York,
CMCSA,Comcast A Corp,reports,Consumer Discretionary,Cable & Satellite,Philadelphia, Pennsylvania,2015-09-18
CMA,Comerica Inc.,reports,Financials,Regional Banks,Dallas, Texas,
CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,Omaha, Nebraska,1983-08-31
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,Midland, Texas,2016-02-22
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,
ED,Consolidated Edison,reports,Utilities,Electric Utilities,New York, New York,
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,Victor, New York,
GLW,Corning Inc.,reports,Information Technology,Electronic Components,Corning, New York,
COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,Issaquah, Washington,1993-10-01
COTY,Coty, Inc,reports,Consumer Staples,Personal Products,New York, NY,2016-10-03
CCI,Crown Castle International Corp.,reports,Real Estate,REITs,Houston, Texas,2012-03-14
CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Other Services,Falls Church, Virginia,2015-12-01
CSX,CSX Corp.,reports,Industrials,Railroads,Jacksonville, Florida,1967-09-30
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,Columbus, Indiana,1965-03-31
CVS,CVS Health,reports,Consumer Staples,Drug Retail,Woonsocket, Rhode Island,
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,Fort Worth, Texas,
DHR,Danaher Corp.,reports,Industrials,Industrial Conglomerates,Washington, D.C.,
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,Orlando, Florida,
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,Denver, Colorado,2008-07-31
DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Moline, Illinois,
DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,Gillingham, Kent, United Kingdom,2012-12-24
DAL,Delta Air Lines,reports,Industrials,Airlines,Atlanta, Georgia,2013-09-11
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,York, Pennsylvania,2008-11-14
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma,
DLR,Digital Realty Trust,reports,Real Estate,Specialized REITs,San Francisco, California,2016-05-18
DFS,Discover Financial Services,reports,Financials,Consumer Finance,Riverwoods, Illinois,2007-07-02
DISCA,Discovery Communications-A,reports,Consumer Discretionary,Cable & Satellite,Silver Spring, Maryland,2010-03-01
DISCK,Discovery Communications-C,reports,Consumer Discretionary,Cable & Satellite,Silver Spring, Maryland,2014-08-07
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,Goodlettsville, Tennessee,2012-12-03
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,Chesapeake, Virginia,2011-12-19
D,Dominion Resources,reports,Utilities,Electric Utilities,Richmond, Virginia,
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,Downers Grove, Illinois,1985-10-31
DOW,Dow Chemical,reports,Materials,Diversified Chemicals,Midland, Michigan,
DPS,Dr Pepper Snapple Group,reports,Consumer Staples,Soft Drinks,Plano, Texas,2008-10-07
DTE,DTE Energy Co.,reports,Utilities,MultiUtilities,Detroit, Michigan,
DD,Du Pont (E.I.),reports,Materials,Diversified Chemicals,Wilmington, Delaware,
DUK,Duke Energy,reports,Utilities,Electric Utilities,Charlotte, North Carolina,1976-06-30
DNB,Dun & Bradstreet,reports,Industrials,Research & Consulting Services,Short Hills, New Jersey,2008-12-02
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,New York, New York,2004-03-31
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,Kingsport, Tennessee,1994-01-01
ETN,Eaton Corporation,reports,Industrials,Industrial Conglomerates,Dublin, Ireland,
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,San Jose, California,
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,St. Paul, Minnesota,1989-01-31
EIX,Edison Int'l,reports,Utilities,Electric Utilities,Rosemead, California,
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,Irvine, California,2011-04-01
EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,Redwood City, California,
emr,Emerson Electric Company,reports,Industrials,Industrial Conglomerates,Ferguson, Missouri,1965-03-31
ENDP,Endo International,reports,Health Care,Pharmaceuticals,Dublin, Ireland,2015-01-27
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,New Orleans, Louisiana,
EVHC,Envision Healthcare Corp,reports,Health Care,Health Care Services,Nashville, Tennessee,2016-12-02
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,
EQT,EQT Corporation,reports,Energy,Oil & Gas Exploration & Production,Pittsburgh, Pennsylvania,2008-12-19
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,Atlanta, Georgia,
EQIX,Equinix,reports,Real Estate,REITs,Redwood City, California,2015-03-20
EQR,Equity Residential,reports,Real Estate,REITs,Chicago, Illinois,
ESS,Essex Property Trust, Inc.,reports,Real Estate,Residential REITs,Palo Alto, California,2014-04-02
EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,New York, New York,
ES,Eversource Energy,reports,Utilities,MultiUtilities,Springfield, Massachusetts,
EXC,Exelon Corp.,reports,Utilities,MultiUtilities,Chicago, Illinois,
EXPE,Expedia Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Bellevue, Washington,2007-10-02
EXPD,Expeditors Int'l,reports,Industrials,Air Freight & Logistics,Seattle, Washington,2007-10-10
ESRX,Express Scripts,reports,Health Care,Health Care Distributors,Cool Valley, Missouri,2003-09-25
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,Salt Lake City, UT,2016-01-19
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,Irving, Texas,
FFIV,F5 Networks,reports,Information Technology,Networking Equipment,Seattle, Washington,2010-12-20
FB,Facebook,reports,Information Technology,Internet Software & Services,Menlo Park, California,2013-12-23
FAST,Fastenal Co,reports,Industrials,Building Products,Winona, Minnesota,2009-09-15
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,Rockville, Maryland,2016-02-01
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,Memphis, Tennessee,1980-12-31
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,Jacksonville, Florida,
FITB,Fifth Third Bancorp,reports,Financials,Banks,Cincinnati, Ohio,
FSLR,First Solar Inc,reports,Information Technology,Semiconductors,Tempe, Arizona,2009-10-16
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,Akron, Ohio,
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,Brookfield, Wisconsin,
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,Wilsonville, Oregon,2009-01-02
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,Irving, Texas,2008-10-02
FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,Irving, Texas,1980-03-31
FMC,FMC Corporation,reports,Materials,Diversified Chemicals,Philadelphia, Pennsylvania,2009-08-19
FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,2009-06-05
FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,New York, New York,2016-04-04
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,Dearborn, Michigan,
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,Everett, Washington,2016-07-01
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,Deerfield, Illinois,2016-06-22
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,San Mateo, California,
FCX,Freeport-McMoran Cp & Gld,reports,Materials,Copper,Phoenix, Arizona,
FTR,Frontier Communications,reports,Telecommunications Services,Integrated Telecommunications Services,Stamford, Connecticut,
GPS,Gap (The),reports,Consumer Discretionary,Apparel Retail,San Francisco, California,1986-08-31
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,Schaffhausen, Switzerland,2012-12-12
GD,General Dynamics,reports,Industrials,Aerospace & Defense,Falls Church, Virginia,
GE,General Electric,reports,Industrials,Industrial Conglomerates,Fairfield, Connecticut,
GGP,General Growth Properties Inc.,reports,Real Estate,Retail REITs,Chicago, Illinois,2013-12-10
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,Golden Valley, Minnesota,1969-03-31
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,Detroit, Michigan,2013-06-06
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,Atlanta, Georgia,1973-12-31
GILD,Gilead Sciences,reports,Health Care,Biotechnology,Foster City, California,
GPN,Global Payments Inc,reports,Information Technology,Data Processing & Outsourced Services,Atlanta, Georgia,2016-04-25
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,New York, New York,
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,Akron, Ohio,
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Materials,Lake Forest, Illinois,1981-06-30
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,
HBI,Hanesbrands Inc,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,Winston-Salem, North Carolina,2015-03-20
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee, Wisconsin,
HAR,Harman Int'l Industries,reports,Consumer Discretionary,Consumer Electronics,Stamford, Connecticut,
HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,Melbourne, Florida,2008-09-22
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,Hartford, Connecticut,
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,Pawtucket, Rhode Island,1984-09-30
HCA,HCA Holdings,reports,Health Care,Health Care Facilities,Nashville, Tennessee,2015-01-27
HCP,HCP Inc.,reports,Real Estate,REITs,Long Beach, California,2008-03-31
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,Tulsa, Oklahoma[5],
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,Melville, New York,2015-03-17
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,New York, New York,1984-05-31
HPE,Hewlett Packard Enterprise,reports,Information Technology,Technology Hardware, Storage & Peripherals,Palo Alto, California,2015-11-02
HOLX,Hologic,reports,Health Care,Health Care Equipment,Marlborough, Massachusetts,2016-03-30
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,Atlanta, Georgia,1988-03-31
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,Morristown, New Jersey,1964-03-31
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,Austin, Minnesota,2009-03-04
HST,Host Hotels & Resorts,reports,Real Estate,REITs,Bethesda, Maryland,2007-03-20
HPQ,HP Inc.,reports,Information Technology,Computer Hardware,Palo Alto, California,1974-12-31
HUM,Humana Inc.,reports,Health Care,Managed Health Care,Louisville, Kentucky,
HBAN,Huntington Bancshares,reports,Financials,Banks,Columbus, Ohio,
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,Westbrook, Maine,2017-01-05
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,Glenview, Illinois,1986-02-28
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,San Diego, California,2015-11-19
IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Conglomerates,Dublin, Ireland,2010-11-17
INTC,Intel Corp.,reports,Information Technology,Semiconductors,Santa Clara, California,1976-12-31
ICE,Intercontinental Exchange,reports,Financials,Diversified Financial Services,Atlanta, Georgia,2007-09-26
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,Armonk, New York,
IP,International Paper,reports,Materials,Paper Packaging,Memphis, Tennessee,
IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,New York, New York,1992-10-01
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,New York, New York,1976-03-31
INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,Mountain View, California,2000-12-05
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,Sunnyvale, California,2008-06-02
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,Atlanta, Georgia,2008-08-21
IRM,Iron Mountain Incorporated,reports,Real Estate,REITs,Boston, Massachusetts,2009-01-06
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,Lowell, Arkansas,2015-07-01
JEC,Jacobs Engineering Group,reports,Industrials,Industrial Conglomerates,Pasadena, California,2007-10-26
