Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,Orrville, Ohio,2008-11-06
JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment,New Brunswick, New Jersey,1973-06-30
JCI,Johnson Controls International,reports,Industrials,Building Products,Cork, Ireland,2010-08-27
JPM,JPMorgan Chase & Co.,reports,Financials,Banks,New York, New York,1975-06-30
JNPR,Juniper Networks,reports,Information Technology,Networking Equipment,Sunnyvale, California,
KSU,Kansas City Southern,reports,Industrials,Railroads,Kansas City, Missouri,2013-05-24
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,Battle Creek, Michigan,
KEY,KeyCorp,reports,Financials,Banks,Cleveland, Ohio,1994-03-01
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,Irving, Texas,
KIM,Kimco Realty,reports,Real Estate,REITs,New Hyde Park, New York,
KMI,Kinder Morgan,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Houston, Texas,2012-05-25
KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,Milpitas, California,
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,Menomonee Falls, Wisconsin,
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,Pittsburgh, Pennsylvania,2015-07-06
KR,Kroger Co.,reports,Consumer Staples,Food Retail,Cincinnati, Ohio,
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,Columbus, Ohio,1983-09-30
LLL,L-3 Communications Holdings,reports,Industrials,Industrial Conglomerates,New York, New York,
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Facilities,Burlington, North Carolina,
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,Fremont, California,2012-06-29
LEG,Leggett & Platt,reports,Industrials,Industrial Conglomerates,Carthage, Missouri,
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,Miami, Florida,
LUK,Leucadia National Corp.,reports,Financials,Multi-Sector Holdings,New York, New York,2007-08-27
LVLT,Level 3 Communications,reports,Telecommunications Services,Alternative Carriers,Broomfield, Colorado,2014-11-05
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,Indianapolis, Indiana,1970-12-31
LNC,Lincoln National,reports,Financials,Multi-line Insurance,Radnor, Pennsylvania,1976-06-30
LLTC,Linear Technology Corp.,reports,Information Technology,Semiconductors,Milpitas, California,
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,Chicago, Illinois,2016-05-23
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,Bethesda, Maryland,1984-07-31
L,Loews Corp.,reports,Financials,Multi-Sector Holdings,New York, New York,
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,Mooresville, North Carolina,1984-02-29
LYB,LyondellBasell,reports,Materials,Diversified Chemicals,Rotterdam, Netherlands,2012-09-05
MTB,M&T Bank Corp.,reports,Financials,Banks,Buffalo, New York,
MAC,Macerich,reports,Real Estate,Retail REITs,Santa Monica, California,2013-05-09
M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,Cincinnati, Ohio,
MNK,Mallinckrodt Plc,reports,Health Care,Pharmaceuticals,Dublin, Ireland,2014-08-19
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,1991-05-01
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Findlay, Ohio,2011-07-01
MAR,Marriott Int'l.,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Bethesda, Maryland,
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,New York, New York,1987-08-31
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,Raleigh, North Carolina,2014-07-02
MAS,Masco Corp.,reports,Industrials,Building Products,Taylor, Michigan,1981-06-30
MA,Mastercard Inc.,reports,Information Technology,Internet Software & Services,Harrison, New York,2008-07-18
MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,El Segundo, California,1982-03-31
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,Sparks, Maryland,
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,Oak Brook, Illinois,1970-06-30
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,San Francisco, California,
MJN,Mead Johnson,reports,Consumer Staples,Packaged Foods & Meats,Glenview, Illinois,2009-12-21
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,Dublin, Ireland,1986-10-31
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,Whitehouse Station, New Jersey,
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,New York, New York,
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,Columbus, Ohio,2016-09-06
KORS,Michael Kors Holdings,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,2013-11-13
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,Chandler, Arizona,2007-09-07
MU,Micron Technology,reports,Information Technology,Semiconductors,Boise, Idaho,1994-09-27
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,Redmond, Washington,1994-06-01
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,Memphis, Tennessee,2016-12-02
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,Amsterdam, New York,2013-12-23
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,Denver, Colorado,1976-06-30
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,Northfield, Illinois,2012-10-02
MON,Monsanto Co.,reports,Materials,Fertilizers & Agricultural Chemicals,Creve Coeur, Missouri,2002-08-07
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,Corona, California,2012-06-28
MCO,Moody's Corp,reports,Financials,Diversified Financial Services,New York, New York,
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,New York, New York,
MSI,Motorola Solutions Inc.,reports,Information Technology,Telecommunications Equipment,Schaumburg, Illinois,
MUR,Murphy Oil,reports,Energy,Integrated Oil & Gas,El Dorado, Arkansas,
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,Amsterdam, Netherlands,
NDAQ,NASDAQ OMX Group,reports,Financials,Diversified Financial Services,New York, New York,2008-10-22
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,Houston, Texas,
NAVI,Navient,reports,Financials,Consumer Finance,Newark, Delaware,2014-05-01
NTAP,NetApp,reports,Information Technology,Internet Software & Services,Sunnyvale, California,
NFLX,Netflix Inc.,reports,Information Technology,Internet Software & Services,Los Gatos, California,2010-12-20
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,Sandy Springs, Georgia,1989-04-30
NFX,Newfield Exploration Co,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,2010-12-20
NEM,Newmont Mining Corp. (Hldg. Co.),reports,Materials,Gold,Denver, Colorado,1969-06-30
NWSA,News Corp. Class A,reports,Consumer Discretionary,Publishing,New York, New York,2013-08-01
NWS,News Corp. Class B,reports,Consumer Discretionary,Publishing,New York, New York,2015-09-18
NEE,NextEra Energy,reports,Utilities,MultiUtilities,Juno Beach, Florida,1976-06-30
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,New York, New York,2013-07-09
NKE,Nike,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,Washington County, Oregon,1988-11-30
NI,NiSource Inc.,reports,Utilities,MultiUtilities,Merrillville, Indiana,
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,2007-10-08
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,Seattle, Washington,1986-08-31
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,Norfolk, Virginia,
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,Chicago, Illinois,
NOC,Northrop Grumman Corp.,reports,Industrials,Aerospace & Defense,West Falls Church, Virginia,1985-06-30
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,Princeton, New Jersey,2010-01-29
NUE,Nucor Corp.,reports,Materials,Steel,Charlotte, North Carolina,1985-04-30
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,Santa Clara, California,
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,Springfield, Missouri,2009-03-27
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,Los Angeles, California,1982-12-31
OMC,Omnicom Group,reports,Consumer Discretionary,Advertising,New York, New York,
OKE,ONEOK,reports,Energy,Oil & Gas Exploration & Production,Tulsa, Oklahoma,2010-03-15
ORCL,Oracle Corp.,reports,Information Technology,Application Software,Redwood Shores, California,1989-08-31
PCAR,PACCAR Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Bellevue, Washington,1980-12-31
PH,Parker-Hannifin,reports,Industrials,Industrial Conglomerates,Cleveland, Ohio,1985-11-30
PDCO,Patterson Companies,reports,Health Care,Health Care Supplies,St. Paul, Minnesota,
PAYX,Paychex Inc.,reports,Information Technology,Internet Software & Services,Penfield, New York,
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,San Jose, California,2015-07-20
PNR,Pentair Ltd.,reports,Industrials,Industrial Machinery,Worsley, UK,2012-10-01
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,Bridgeport, Connecticut,2008-11-13
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,Purchase, New York,
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,Waltham, Massachusetts,1985-05-31
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,Dublin, Ireland,2011-12-19
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,New York, New York,
PCG,PG&E Corp.,reports,Utilities,MultiUtilities,San Francisco, California,
PM,Philip Morris International,reports,Consumer Staples,Tobacco,New York, New York,2008-03-31
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Houston, Texas,2012-05-01
PNW,Pinnacle West Capital,reports,Utilities,MultiUtilities,Phoenix, Arizona,
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,Irving, Texas,2008-09-24
PBI,Pitney-Bowes,reports,Industrials,Technology, Hardware, Software and Supplies,Stamford, Connecticut,
PNC,PNC Financial Services,reports,Financials,Banks,Pittsburgh, Pennsylvania,1988-04-30
RL,Polo Ralph Lauren Corp.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,2007-02-02
PPG,PPG Industries,reports,Materials,Diversified Chemicals,Pittsburgh, Pennsylvania,
PPL,PPL Corp.,reports,Utilities,Electric Utilities,Allentown, Pennsylvania,
PX,Praxair Inc.,reports,Materials,Industrial Gases,Danbury, Connecticut,1992-07-01
PCLN,Priceline.com Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Norwalk, Connecticut,2009-11-06
PFG,Principal Financial Group,reports,Financials,Diversified Financial Services,Des Moines, Iowa,
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,Cincinnati, Ohio,
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,Mayfield Village, Ohio,
PLD,Prologis,reports,Real Estate,REITs,San Francisco, California,
PRU,Prudential Financial,reports,Financials,Diversified Financial Services,Newark, New Jersey,
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,Newark, New Jersey,
PSA,Public Storage,reports,Real Estate,REITs,Glendale, California,
PHM,Pulte Homes Inc.,reports,Consumer Discretionary,Homebuilding,Atlanta, Georgia,1984-04-30
PVH,PVH Corp.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,2013-02-15
QRVO,Qorvo,reports,Information Technology,Semiconductors,Greensboro, North Carolina,2015-06-11
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,San Diego, California,
PWR,Quanta Services Inc.,reports,Industrials,Industrial Conglomerates,Houston, Texas,2009-07-01
DGX,Quest Diagnostics,reports,Health Care,Health Care Facilities,Madison, New Jersey,
RRC,Range Resources Corp.,reports,Energy,Oil & Gas Exploration & Production,Fort Worth, Texas,2007-12-21
RTN,Raytheon Co.,reports,Industrials,Aerospace & Defense,Waltham, Massachusetts,
O,Realty Income Corporation,reports,Real Estate,Retail REITs,San Diego, California,2015-04-07
RHT,Red Hat Inc.,reports,Information Technology,Systems Software,Raleigh, North Carolina,2009-07-27
REGN,Regeneron,reports,Health Care,Biotechnology,Tarrytown, New York,2013-05-01
RF,Regions Financial Corp.,reports,Financials,Diversified Financial Services,Birmingham, Alabama,
RSG,Republic Services Inc,reports,Industrials,Industrial Conglomerates,Phoenix, Arizona,2008-12-05
RAI,Reynolds American Inc.,reports,Consumer Staples,Tobacco,Winston-Salem, North Carolina,
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,Menlo Park, California,
ROK,Rockwell Automation Inc.,reports,Industrials,Industrial Conglomerates,Milwaukee, Wisconsin,
COL,Rockwell Collins,reports,Industrials,Industrial Conglomerates,Cedar Rapids, Iowa,
ROP,Roper Industries,reports,Industrials,Industrial Conglomerates,Sarasota, Florida,2009-12-23
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,Pleasanton, California,2009-12-21
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Miami, Florida,2014-12-05
R,Ryder System,reports,Industrials,Industrial Conglomerates,Miami, Florida,1982-12-31
SPGI,S&P Global, Inc.,reports,Financials,Diversified Financial Services,New York, New York,
CRM,Salesforce.com,reports,Information Technology,Internet Software & Services,San Francisco, California,2008-09-15
SCG,SCANA Corp,reports,Utilities,MultiUtilities,Cayce, South Carolina,2009-01-02
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,Cura’_ao, Kingdom of the Netherlands,1965-03-31
SNI,Scripps Networks Interactive Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,Cincinnati, Ohio,2008-07-01
STX,Seagate Technology,reports,Information Technology,Computer Storage & Peripherals,Dublin, Ireland,2012-07-02
SEE,Sealed Air,reports,Materials,Paper Packaging,Elmwood Park, New Jersey,
SRE,Sempra Energy,reports,Utilities,MultiUtilities,San Diego, California,
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,Cleveland, Ohio,1964-06-30
SIG,Signet Jewelers,reports,Consumer Discretionary,Specialty Stores,Hamilton, Bermuda,2015-07-29
SPG,Simon Property Group Inc,reports,Real Estate,REITs,Indianapolis, Indiana,
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,Woburn, Massachusetts,2015-03-12
SLG,SL Green Realty,reports,Real Estate,Office REITs,New York, New York,2015-03-20
SNA,Snap-On Inc.,reports,Consumer Discretionary,Household Appliances,Kenosha, Wisconsin,1982-09-30
SO,Southern Co.,reports,Utilities,Electric Utilities,Atlanta, Georgia,
LUV,Southwest Airlines,reports,Industrials,Airlines,Dallas, Texas,1994-07-01
SWN,Southwestern Energy,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas[6],2008-06-06
SE,Spectra Energy Corp.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,Houston, Texas,
SWK,Stanley Black & Decker,reports,Consumer Discretionary,Household Appliances,New Britain, Connecticut,1982-09-30
SPLS,Staples Inc.,reports,Consumer Discretionary,Specialty Stores,Framingham, Massachusetts,
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,Seattle, Washington,
STT,State Street Corp.,reports,Financials,Diversified Financial Services,Boston, Massachusetts,
SRCL,Stericycle Inc,reports,Industrials,Industrial Conglomerates,Lake Forest, Illinois,2008-11-19
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,Kalamazoo, Michigan,
STI,SunTrust Banks,reports,Financials,Banks,Atlanta, Georgia,1988-05-31
SYMC,Symantec Corp.,reports,Information Technology,Application Software,Mountain View, California,2003-03-25
SYF,Synchrony Financial,reports,Financials,Consumer Finance,Stamford, Connecticut,2015-11-18
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,Houston, Texas,1986-12-31
TROW,T. Rowe Price Group,reports,Financials,Diversified Financial Services,Baltimore, Maryland,
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,Minneapolis, Minnesota,1976-12-31
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,Schaffhausen, Switzerland,2011-10-17
TGNA,Tegna, Inc.,reports,Consumer Discretionary,Publishing,McLean, Virginia,1975-12-31
TDC,Teradata Corp.,reports,Information Technology,Application Software,Miamisburg, Ohio,2007-10-01
TSO,Tesoro Petroleum Co.,reports,Energy,Oil & Gas Refining & Marketing & Transportation,San Antonio, Texas,2007-09-27
TXN,Texas Instruments,reports,Information Technology,Semiconductors,Dallas, Texas,
TXT,Textron Inc.,reports,Industrials,Industrial Conglomerates,Providence, Rhode Island,1978-12-31
BK,The Bank of New York Mellon Corp.,reports,Financials,Banks,New York, New York,
CLX,The Clorox Company,reports,Consumer Staples,Household Products,Oakland, California,1969-03-31
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,Pleasanton, California,2016-09-23
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,Hershey, Pennsylvania,
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,Plymouth, Minnesota,2011-09-26
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,New York, New York,
DIS,The Walt Disney Company,reports,Consumer Discretionary,Broadcasting & Cable TV,Burbank, California,1976-06-30
TMO,Thermo Fisher Scientific,reports,Health Care,Health Care Equipment,Waltham, Massachusetts,
TIF,Tiffany & Co.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,New York, New York,
TWX,Time Warner Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,New York, New York,
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,Framingham, Massachusetts,1985-09-30
TMK,Torchmark Corp.,reports,Financials,Life & Health Insurance,McKinney, Texas,1989-04-30
TSS,Total System Services,reports,Information Technology,Internet Software & Services,Columbus, Georgia,2008-01-02
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Retail,Brentwood, Tennessee,2014-01-24
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,Cleveland, Ohio,2016-06-03
RIG,Transocean,reports,Energy,Oil & Gas Drilling,Vernier, Switzerland,2013-10-29
TRIP,TripAdvisor,reports,Consumer Discretionary,Internet & Direct Marketing Retail,Newton, Massachusetts,2011-12-21
FOXA,Twenty-First Century Fox Class A,reports,Consumer Discretionary,Publishing,New York, New York,2013-07-01
FOX,Twenty-First Century Fox Class B,reports,Consumer Discretionary,Publishing,New York, New York,2015-09-18
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,Springdale, Arkansas,
USB,U.S. Bancorp,reports,Financials,Banks,Minneapolis, Minnesota,
UDR,UDR Inc,reports,Real Estate,Residential REITs,Highlands Ranch, Colorado,2016-03-07
ULTA,Ulta Salon Cosmetics & Fragrance Inc,reports,Consumer Discretionary,Specialty Stores,Bolingbrook, Illinois,2016-04-18
UA,Under Armour,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,Baltimore, Maryland,2014-05-01
UAA,Under Armour,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,Baltimore, Maryland,2016-03-25
UNP,Union Pacific,reports,Industrials,Railroads,Omaha, Nebraska,
UAL,United Continental Holdings,reports,Industrials,Airlines,Chicago, Illinois,2015-09-03
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,Minnetonka, Minnesota,1994-07-01
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,Atlanta, Georgia,
URI,United Rentals, Inc.,reports,Industrials,Trading Companies & Distributors,Stamford, Connecticut,2014-09-20
UTX,United Technologies,reports,Industrials,Industrial Conglomerates,Hartford, Connecticut,
UHS,Universal Health Services, Inc.,reports,Health Care,Health Care Facilities,King of Prussia, Pennsylvania,2014-09-20
UNM,Unum Group,reports,Financials,Diversified Financial Services,Chattanooga, Tennessee,1994-03-01
URBN,Urban Outfitters,reports,Consumer Discretionary,Apparel Retail,Philadelphia, Pennsylvania,2010-02-08
VFC,V.F. Corp.,reports,Consumer Discretionary,Apparel, Accessories & Luxury Goods,Greensboro, North Carolina,1979-06-30
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing & Transportation,San Antonio, Texas,
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,Palo Alto, California,2007-02-12
VTR,Ventas Inc,reports,Real Estate,REITs,Chicago, Illinois,2009-03-04
VRSN,Verisign Inc.,reports,Information Technology,Internet Software & Services,Dulles, Virginia,
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,Jersey City, New Jersey,2015-10-08
VZ,Verizon Communications,reports,Telecommunications Services,Integrated Telecommunications Services,New York, New York,1983-11-30
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,Cambridge, Massachusetts,2013-09-23
VIAB,Viacom Inc.,reports,Consumer Discretionary,Broadcasting & Cable TV,New York, New York,
V,Visa Inc.,reports,Information Technology,Internet Software & Services,San Francisco, California,2009-12-21
VNO,Vornado Realty Trust,reports,Real Estate,REITs,New York, New York,
VMC,Vulcan Materials,reports,Materials,Construction Materials,Birmingham, Alabama,
WMT,Wal-Mart Stores,reports,Consumer Staples,Hypermarkets & Super Centers,Bentonville, Arkansas,1982-08-31
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,Deerfield, Illinois,1979-12-31
WM,Waste Management Inc.,reports,Industrials,Environmental Services,Houston, Texas,
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,Milford, Massachusetts,
WEC,Wec Energy Group Inc,reports,Utilities,Electric Utilities,Milwaukee, Wisconsin,2008-10-31
WFC,Wells Fargo,reports,Financials,Banks,San Francisco, California,1976-06-30
HCN,Welltower Inc.,reports,Real Estate,REITs,Toledo, Ohio,2009-01-30
WDC,Western Digital,reports,Information Technology,Computer Storage & Peripherals,Irvine, California,2009-07-01
WU,Western Union Co,reports,Information Technology,Internet Software & Services,Englewood, Colorado,
WRK,WestRock Company,reports,Materials,Paper Packaging,Richmond, Virginia,
WY,Weyerhaeuser Corp.,reports,Real Estate,REITs,Federal Way, Washington,
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,Benton Harbor, Michigan,
WFM,Whole Foods Market,reports,Consumer Staples,Food Retail,Austin, Texas,
WMB,Williams Cos.,reports,Energy,Oil & Gas Exploration & Production,Tulsa, Oklahoma,1975-03-31
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,London, United Kingdom,2016-01-05
WYN,Wyndham Worldwide,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Parsippany, New Jersey,
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,Las Vegas, Nevada,2008-11-14
XEL,Xcel Energy Inc,reports,Utilities,MultiUtilities,Minneapolis, Minnesota,
XRX,Xerox Corp.,reports,Information Technology,IT Consulting & Other Services,Norwalk, Connecticut,
XLNX,Xilinx Inc,reports,Information Technology,Semiconductors,San Jose, California,
XL,XL Capital,reports,Financials,Property & Casualty Insurance,Hamilton, Bermuda,
XYL,Xylem Inc.,reports,Industrials,Industrial Conglomerates,White Plains, New York,2011-11-01
YHOO,Yahoo Inc.,reports,Information Technology,Internet Software & Services,Sunnyvale, California,
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,Louisville, Kentucky,1997-10-06
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,Warsaw, Indiana,
ZION,Zions Bancorp,reports,Financials,Regional Banks,Salt Lake City, Utah,
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,Florham Park, New Jersey,2013-06-21